Market,Market Size,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,ProductId,Date,Product Type,Product,Type,ROI,Lease_Term,State_Colorado,City_DaNang,City_HaNoi,State_Illinois,State_Iowa,State_Louisiana,State_Massachusetts,State_Missouri,State_Nevada,State_New Hampshire,State_New Mexico,State_New York,State_Ohio,State_Oklahoma,State_Oregon,City_HaiPhong,State_Utah,City_HCMC,State_Wisconsin,Foot_Traffic_per_day,Competitor_Count_500m,Occupancy_Rate,Area_sqm,Traffic_per_sqm,Rent_per_sqm,ROI_Predicted
East,Small Market,107.0,176.0,292.0,116.0,69.0,38.0,962.0,110.0,110.0,160.0,270.0,2,2010-04-01,Coffee,Columbian,Regular,1.5507246376811594,179.63333333333333,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.799174850767238,9.026691066063558
East,Small Market,75.0,135.0,225.0,90.0,60.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,2010-07-01,Coffee,Columbian,Regular,1.25,176.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.6949346528410765,9.410075620415487
East,Small Market,122.0,195.0,325.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,2010-11-01,Coffee,Columbian,Regular,1.6712328767123288,172.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.8455038276233098,8.835479367901053
East,Small Market,105.0,174.0,289.0,115.0,69.0,37.0,1166.0,110.0,100.0,160.0,260.0,2,2010-12-01,Coffee,Columbian,Regular,1.5217391304347827,171.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.799174850767238,9.026691066063558
East,Small Market,104.0,135.0,223.0,90.0,56.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,2011-07-01,Coffee,Columbian,Regular,1.8571428571428572,164.43333333333334,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.6486056759850047,9.58452100455465
East,Small Market,104.0,135.0,223.0,90.0,56.0,29.0,1139.0,90.0,80.0,130.0,210.0,2,2011-08-01,Coffee,Columbian,Regular,1.8571428571428572,163.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.6486056759850047,9.58452100455465
East,Small Market,135.0,155.0,275.0,103.0,64.0,33.0,1130.0,110.0,90.0,150.0,240.0,2,2011-09-01,Coffee,Columbian,Regular,2.109375,162.36666666666667,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.7412636296971483,9.346644658027133
East,Small Market,171.0,188.0,334.0,125.0,73.0,41.0,1119.0,130.0,100.0,160.0,260.0,2,2011-10-01,Coffee,Columbian,Regular,2.3424657534246576,161.36666666666667,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.8455038276233098,8.835479367901053
East,Small Market,181.0,195.0,346.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,2011-11-01,Coffee,Columbian,Regular,2.4794520547945207,160.33333333333334,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.8455038276233098,8.835479367901053
East,Small Market,15.0,31.0,51.0,20.0,16.0,5.0,804.0,20.0,20.0,30.0,50.0,13,2010-06-01,Tea,Green Tea,Regular,0.9375,177.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.18531590742428708,11.41773289978467
East,Small Market,33.0,54.0,90.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,2010-11-01,Tea,Green Tea,Regular,1.5714285714285714,172.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.24322712849437678,11.41773289978467
East,Small Market,17.0,28.0,47.0,19.0,15.0,5.0,811.0,20.0,20.0,30.0,50.0,13,2011-08-01,Tea,Green Tea,Regular,1.1333333333333333,163.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2068.1005917159764,3.7159763313609466,0.8672189349112426,86.33905325443787,23.95324611240945,0.17373366321026912,11.41773289978467
